"rr","year","revenue","rrcode","revenue.ton.miles","price","price.capital","quantity.capital","price.cars","price.locomotives","quantity.cars","quantity.locomotives","quantity.fuel","price.fuel","price.labor","quantity.labor","average.length.of.haul","miles.of.road","percent.unit","percent.bulk"
"NS",2010,9141873504.45083,117000,1.82e+11,0.0502300742002793,0.110322527715943,23068275092.1288,2692.69601628614,103590.883714935,86874,3887,4.4e+08,2.18702032626571,31.7460211405608,53310602,458.89,20183,0.26510663507109,0.152651650565918
"NS",2011,10446713056.2305,117000,1.92e+11,0.0544099638345336,0.115568533201657,23082971144.2593,2919.73811167239,108074.742992413,87478,3991,4.74e+08,2.96114661151501,31.622941425947,57888661,476.36,20141,0.269823479966377,0.14848253555158
"NS",2012,10194793852.4707,117000,1.86e+11,0.0548107196369393,0.111218840040742,23625352380.4093,3063.20478987684,108750.375324505,86056,4029,4.59e+08,2.98181299075284,30.5748155552725,57371641,484.66,20023,0.248070877393541,0.146369270788926
"NS",2013,10246873775.3212,117000,1.94e+11,0.052818936986192,0.11191762196251,24304109384.06,2948.12543193471,105981.099247333,79139,4139,476304438,2.89260245144982,31.0551178161606,55596105,496.7795197,19961,0.251142631311657,0.148863512236534
"NS",2014,10414653632.6163,117000,2.05e+11,0.0508031884517866,0.106910368939026,24783829889.0341,2961.03392694428,101951.6189428,77503,4265,494001203,2.67103683272472,30.0526456798425,55027650,521.2178097,19759,0.253956307550303,0.157730829990144
"NW",1983,2825558561.77583,717000,40594229000,0.069604932311335,NA,NA,4875.72077226312,84162.6693738224,83159,1263,136307302,1.54854900987537,31.3749163024286,32743000,327.6687622,7981,0,0.138662568256091
"NW",1984,3061091189.75712,717000,43766213000,0.0699418793615321,NA,NA,4637.6297718784,83870.1593034542,81203,1227,149962725,1.47551046427464,32.2534735111321,35772000,319.7111206,7746,0.00411190611808246,0.136829743263283
"PLE",1983,90529293.6520105,518200,1085819000,0.0833742029307007,NA,NA,-37.7365820396388,-310.805851122613,13903,98,3170877,1.85085787417167,34.6628389405467,1942000,95.70903778,400,0.467286575110585,0.201668610269823
"PLE",1984,97524331.6261072,518200,1009088000,0.0966460126630256,NA,NA,1418.22901242627,8107.48449358391,12121,91,3119422,2.08901704280611,34.4654275031987,1918000,92.17941284,408,0.354773526887645,0.266236495206549
"SCL",1983,0,725600,73927978000,0,NA,NA,5741.46184151479,90569.3393178603,111572,2189,292406161,1.56104406191321,32.576577402467,56387000,323.0750732,15064,0,NA
"SCL",1984,0,725600,80242639000,0,NA,NA,5375.40654355979,104631.226964717,108323,2132,318263516,1.48036525866289,32.7029580777891,57389000,318.6874695,14414,0,NA
"SCL",1985,0,725600,76573315000,0,NA,NA,3655.24660267971,116611.287102692,98523,2169,296792459,1.38638396691927,32.8968519537961,53290000,316.7485046,14177,0,NA
"SOO",1983,0,537700,8791406000,0,NA,NA,6167.71518158159,95830.677509047,12568,241,28136875,1.59193842197294,33.1104395738585,6820000,433.8863831,4438,0,NA
"SOO",1984,630057918.493487,537700,9961432000,0.0632497334212076,NA,NA,5990.62816659545,87722.5832919985,12046,243,31034127,1.54451604341388,30.6288897073204,7690000,433.1622314,4628,0.121249277007927,0.327708605948557
"SOO",1985,1158281265.57758,137700,18342149000,0.0631486128248976,NA,NA,3408.81417379381,51219.5638912674,22734,551,61612976,1.39603785902537,32.3001537964237,13521000,382.287384,7975,0.115999992530864,0.237002885212692
"SOO",1986,1130178690.87991,137700,19501900000,0.0579522349555639,NA,NA,4821.83974904803,44339.4103411335,16836,518,66963400,0.85448449796973,35.847327970954,12428000,392.2897339,7747,0.120011154143955,0.240634431090567
"SOO",1987,1205309134.7765,137700,21938340000,0.0549407628278393,NA,NA,3437.26451960669,42849.8859952629,13393,435,68846600,0.907199816298749,37.5529320365954,10563000,396.15625,5809,0.130808895157975,0.26348819537603
